Date,Ingredients,Quantity Sold,Expiry Date,Promotion
2024-01-01,"Eggs, Orange, Pineapple, Chocolate",205,2024-03-01,Free Shipping
2024-01-02,"Sugar, Coffee Beans, Beans",118,2024-03-02,Flash Sale
2024-01-03,"Cream, Pineapple, Milk, Cardamom",367,2024-02-02,Seasonal Offer
2024-01-04,"Nuts, Orange",418,2024-03-04,5% Off
2024-01-05,"Flour, Ice Cream",199,2024-03-05,50% Off Clearance
2024-01-06,"Cream, Pineapple, Milk",191,2024-01-13,10% Off
2024-01-07,Pineapple,257,2024-01-14,Flash Sale
2024-01-08,"Vanilla, Brownie",492,2024-03-08,5% Off
2024-01-09,Cream,74,2024-01-16,Bundle Deal
2024-01-10,"Coffee Beans, Nuts, Brownie",187,2024-03-10,Buy 1 Get 1
2024-01-11,"Almond Milk, Nuts, Berries",305,2024-03-11,Seasonal Offer
2024-01-12,Butter,59,2024-01-26,5% Off
2024-01-13,"Mint, Almond Milk, Ice Cream, Spices",474,2024-03-13,Seasonal Offer
2024-01-14,"Butter, Lemon",477,2024-01-28,10% Off
2024-01-15,Orange,102,2024-01-22,10% Off
2024-01-16,Almond Milk,192,2024-01-30,Flash Sale
2024-01-17,Herbal Leaves,406,2024-02-16,10% Off
2024-01-18,"Almond Milk, Green Tea",341,2024-02-17,Free Shipping
2024-01-19,"Mint, Cinnamon",470,2024-02-18,Loyalty Discount
2024-01-20,"Pasta Sauce, Chocolate",187,2024-03-20,5% Off
2024-01-21,Milk,500,2024-01-28,Flash Sale
2024-01-22,"Orange, Milk, Sugar, Cardamom",191,2024-03-22,10% Off
2024-01-23,Lemon,235,2024-01-30,New Year Sale
2024-01-24,"Berries, Tomato Sauce, Cinnamon",320,2024-02-23,Loyalty Discount
2024-01-25,"Green Tea, Lemon, Nuts",380,2024-03-25,Flash Sale
2024-01-26,"Nuts, Pasta Sauce",439,2024-03-26,Buy 1 Get 1
2024-01-27,"Cardamom, Pasta Sauce, Sugar",273,2024-03-27,Loyalty Discount
2024-01-28,"Flour, Tomato Sauce",251,2024-03-28,5% Off
2024-01-29,"Tomato Sauce, Brownie, Chocolate, Sugar",220,2024-03-29,50% Off Clearance
2024-01-30,Butter,106,2024-02-13,Flash Sale
2024-01-31,"Tea, Flour, Spices, Green Tea",381,2024-03-31,Flash Sale
2024-02-01,"Beans, Pasta Sauce",305,2024-03-02,50% Off Clearance
2024-02-02,"Tortilla, Pineapple",399,2024-02-17,New Year Sale
2024-02-03,"Beans, Tortilla, Sugar",428,2024-04-03,10% Off
2024-02-04,"Cinnamon, Sugar, Ice Cream",260,2024-04-04,50% Off Clearance
2024-02-05,"Spices, Herbal Leaves, Green Tea",187,2024-04-05,50% Off Clearance
2024-02-06,Herbal Leaves,404,2024-03-07,Flash Sale
2024-02-07,"Pineapple, Lemon",194,2024-02-14,New Year Sale
2024-02-08,"Cinnamon, Nuts, Fruits",448,2024-04-08,50% Off Clearance
2024-02-09,Pasta Sauce,443,2024-03-10,50% Off Clearance
2024-02-10,"Nuts, Almond Milk",321,2024-04-10,Free Shipping
2024-02-11,"Sugar, Almond Milk, Flour",50,2024-04-11,50% Off Clearance
2024-02-12,"Chocolate, Cheese",119,2024-04-12,5% Off
2024-02-13,"Almond Milk, Cream",448,2024-02-27,50% Off Clearance
2024-02-14,Spices,295,2024-04-14,Loyalty Discount
2024-02-15,"Cardamom, Chocolate, Lemon",301,2024-04-15,Flash Sale
2024-02-16,"Flour, Butter",447,2024-04-16,10% Off
2024-02-17,Ice Cream,84,2024-03-18,Buy 1 Get 1
2024-02-18,"Vegetables, Tortilla",178,2024-03-04,Seasonal Offer
2024-02-19,"Spices, Tomato Sauce, Berries, Pineapple",448,2024-04-19,50% Off Clearance
2024-02-20,"Mint, Flour, Herbal Leaves, Almond Milk",496,2024-04-20,10% Off
2024-02-21,"Mint, Cream, Tea, Vegetables",336,2024-03-22,10% Off
2024-02-22,"Mint, Butter, Green Tea, Flour",282,2024-04-22,Flash Sale
2024-02-23,"Sugar, Green Tea, Pasta Sauce",130,2024-04-23,Bundle Deal
2024-02-24,"Orange, Berries, Coffee Beans",350,2024-03-25,New Year Sale
2024-02-25,"Brownie, Vegetables, Mint",494,2024-03-06,New Year Sale
2024-02-26,"Pineapple, Brownie",156,2024-03-07,Flash Sale
2024-02-27,Brownie,353,2024-03-08,Loyalty Discount
2024-02-28,"Fruits, Sugar",96,2024-04-28,New Year Sale
2024-02-29,"Chocolate, Herbal Leaves, Cheese",221,2024-04-29,New Year Sale
2024-03-01,"Pasta Sauce, Fruits",172,2024-03-31,Buy 1 Get 1
2024-03-02,"Spices, Orange, Lemon, Butter",78,2024-05-01,Flash Sale
2024-03-03,Mint,252,2024-03-10,New Year Sale
2024-03-04,Butter,52,2024-03-18,Buy 1 Get 1
2024-03-05,"Ice Cream, Sugar",266,2024-05-04,Bundle Deal
2024-03-06,"Nuts, Cardamom, Lemon",174,2024-05-05,50% Off Clearance
2024-03-07,Chocolate,138,2024-05-06,Flash Sale
2024-03-08,"Mint, Almond Milk, Cinnamon, Fruits",62,2024-04-07,5% Off
2024-03-09,"Eggs, Mint, Spices",230,2024-05-08,New Year Sale
2024-03-10,Almond Milk,394,2024-03-24,Buy 1 Get 1
2024-03-11,"Tomato Sauce, Nuts, Ice Cream, Chocolate",339,2024-05-10,New Year Sale
2024-03-12,Green Tea,167,2024-04-11,New Year Sale
2024-03-13,Cream,159,2024-03-20,Free Shipping
2024-03-14,"Eggs, Orange",216,2024-03-28,50% Off Clearance
2024-03-15,Cardamom,245,2024-04-14,5% Off
2024-03-16,"Nuts, Vanilla, Berries",383,2024-05-15,10% Off
2024-03-17,Lemon,157,2024-03-24,50% Off Clearance
2024-03-18,"Beans, Orange",337,2024-04-17,Flash Sale
2024-03-19,Herbal Leaves,429,2024-04-18,5% Off
2024-03-20,"Flour, Cheese, Pineapple",452,2024-05-19,New Year Sale
2024-03-21,"Vegetables, Cinnamon",499,2024-04-20,Loyalty Discount
2024-03-22,"Butter, Tomato Sauce",477,2024-04-21,Buy 1 Get 1
2024-03-23,"Cinnamon, Herbal Leaves, Cream, Ice Cream",183,2024-04-22,5% Off
2024-03-24,"Cream, Cheese",356,2024-04-07,Loyalty Discount
2024-03-25,"Cardamom, Fruits, Green Tea, Pasta Sauce",458,2024-04-24,Seasonal Offer
2024-03-26,"Brownie, Orange, Berries, Beans",208,2024-04-25,5% Off
2024-03-27,"Cardamom, Ice Cream, Nuts",294,2024-05-26,Seasonal Offer
2024-03-28,"Lemon, Sugar, Vegetables",219,2024-05-27,5% Off
2024-03-29,"Beans, Eggs, Milk",471,2024-04-28,5% Off
2024-03-30,"Vanilla, Flour",118,2024-05-29,10% Off
2024-03-31,Cardamom,421,2024-04-30,Bundle Deal
2024-04-01,"Lemon, Ice Cream, Spices, Herbal Leaves",198,2024-05-31,Flash Sale
2024-04-02,"Tomato Sauce, Brownie, Tortilla",471,2024-05-02,Seasonal Offer
2024-04-03,"Eggs, Flour, Cheese",254,2024-06-02,Bundle Deal
2024-04-04,"Spices, Nuts",178,2024-06-03,Flash Sale
2024-04-05,Fruits,244,2024-04-12,New Year Sale
2024-04-06,"Vanilla, Cream, Pineapple, Milk",133,2024-06-05,Flash Sale
2024-04-07,"Cinnamon, Lemon",107,2024-05-07,New Year Sale
2024-04-08,"Coffee Beans, Tomato Sauce, Sugar",320,2024-06-07,Seasonal Offer
2024-04-09,"Brownie, Almond Milk",429,2024-04-23,New Year Sale
2024-04-10,"Herbal Leaves, Sugar, Beans",451,2024-06-09,5% Off
2024-04-11,"Mint, Almond Milk, Tomato Sauce, Nuts",379,2024-06-10,Loyalty Discount
2024-04-12,"Sugar, Herbal Leaves, Green Tea, Berries",87,2024-06-11,Flash Sale
2024-04-13,"Almond Milk, Sugar, Pasta Sauce, Pineapple",194,2024-06-12,Loyalty Discount
2024-04-14,"Cheese, Coffee Beans, Mint",281,2024-05-14,Loyalty Discount
2024-04-15,Nuts,393,2024-06-14,50% Off Clearance
2024-04-16,"Milk, Pineapple, Mint",182,2024-04-23,10% Off
2024-04-17,Flour,269,2024-06-16,Flash Sale
2024-04-18,"Green Tea, Berries, Mint",62,2024-05-18,Loyalty Discount
2024-04-19,"Tomato Sauce, Almond Milk",147,2024-05-19,50% Off Clearance
2024-04-20,"Cinnamon, Spices, Milk",94,2024-06-19,50% Off Clearance
2024-04-21,"Orange, Cream, Lemon, Brownie",121,2024-05-01,Buy 1 Get 1
2024-04-22,Ice Cream,451,2024-05-22,Bundle Deal
2024-04-23,"Eggs, Spices, Almond Milk",394,2024-06-22,Flash Sale
2024-04-24,"Tomato Sauce, Beans, Vanilla, Almond Milk",416,2024-06-23,Free Shipping
2024-04-25,"Cream, Fruits, Tortilla, Cardamom",333,2024-05-25,Flash Sale
2024-04-26,"Brownie, Herbal Leaves, Vanilla",309,2024-06-25,Buy 1 Get 1
2024-04-27,Cinnamon,75,2024-05-27,Free Shipping
2024-04-28,"Milk, Beans, Herbal Leaves, Nuts",93,2024-06-27,New Year Sale
2024-04-29,"Tortilla, Tomato Sauce, Chocolate, Vanilla",254,2024-06-28,Flash Sale
2024-04-30,"Vegetables, Vanilla, Beans",332,2024-06-29,10% Off
2024-05-01,"Green Tea, Mint, Cheese, Tortilla",137,2024-05-31,Seasonal Offer
2024-05-02,"Fruits, Cheese, Spices, Orange",285,2024-07-01,5% Off
2024-05-03,"Nuts, Orange, Spices",235,2024-07-02,Free Shipping
2024-05-04,"Ice Cream, Chocolate",306,2024-07-03,Loyalty Discount
2024-05-05,"Beans, Orange, Flour",347,2024-07-04,Loyalty Discount
