TransactionID,Items,TotalCost,UserID,date,paymentMethod
1,"Peach Iced Tea, Lemon Green Coffee",470,5918,05-08-2024,Card
2,"Red Velvet Cake Shake, Flat White",510,2853,23-11-2024,Cash
3,"Donut, Hot Tea Latte, Baguette, Herbal Tea, Pudding, Peach Iced Tea, Red Velvet Cake Shake, Gourmet Belgian Hot Chocolate",1660,136,11-01-2024,Mobile Wallet
4,"Macchiato, Pasta, Cake, Panini, Iced Tea Latte, Filter Coffee, Brownie, Pudding",1680,9904,07-09-2024,Mobile Wallet
5,Vanilla Cappuccino,240,1994,09-07-2024,Mobile Wallet
6,Espresso,150,5355,30-04-2024,Mobile Wallet
7,"Alphonso Mango Frappe, Espresso, Elaichi Tea, Cheesecake Shake, Pudding, Flavoured Ice Cream",1310,694,02-02-2024,Cash
8,"Tacos, Brioche, Hot Velvet Coffee, Granola Bar, Peach Iced Tea, Eclair, Cappuccino",1450,7354,29-01-2024,Mobile Wallet
9,"Danish, Flavoured Ice Cream, Pizza",770,2012,04-03-2024,Cash
10,"Cake, Watermelon Granita",440,8547,18-10-2024,Card
11,"Cake, Flat White, Soup, Baguette, Cookie, Muffin",990,3149,10-10-2024,Cash
12,"Earl Grey Orange Tea, Cappuccino, Iced Tea Latte, Affogato, Filter Coffee",1010,8675,25-05-2024,Cash
13,"Peach Iced Tea, Long Macchiato",450,351,23-04-2024,Card
14,"Crackling Brownie Pastry, Iced Latte, Vanilla Cappuccino, Flat White",940,5012,26-09-2024,UPI
15,"Salad, Iced Cappuccino, Pudding, Earl Grey Orange Tea, Baguette",1030,7063,15-09-2024,Card
16,"Lemon Cake Shake, Iced Mocha, Earl Grey Orange Tea",730,7974,14-01-2024,Mobile Wallet
17,"Iced Latte, Green Tea, Long Macchiato",670,708,19-12-2024,Cash
18,"Pizza, Donut, Flat White",680,6294,16-12-2024,UPI
19,"Eclair, Watermelon Mojito",430,4419,01-03-2024,Cash
20,"Granola Bar, Classic Lemonade, Watermelon Granita, Cake, Mousse",970,2771,24-08-2024,Cash
21,"Herbal Tea, Iced Tea Latte",430,3325,10-09-2024,Card
22,"Black Eye, Classic Lemonade, Iced Latte",600,820,02-07-2024,Mobile Wallet
23,"Flat White, Tropical Iceberg, Donut, Crunchy Frappe, Gourmet Belgian Cold Chocolate",1140,5926,24-05-2024,Card
24,"Eclair, Cutlet",330,2496,20-02-2024,UPI
25,"Classic Lemonade, Hot Tea Latte, Gourmet Belgian Cold Chocolate, Elaichi Tea, Peach Iced Tea, Flavoured Ice Cream, Masala Tea",1530,4029,12-07-2024,Mobile Wallet
26,"Iced Tea Latte, Lemon Green Coffee, Hot Velvet Coffee, Panini",1020,5247,06-09-2024,UPI
27,"Green Tea, Vegan Shake, Iced Cappuccino",710,160,24-10-2024,Card
28,"Black Eye, Hot Tea Latte, Sandwich, Breve, Turmeric Ginger Cappuccino",1150,1397,21-01-2024,UPI
29,"Ginger Tea, Macchiato, Eclair",560,4643,17-09-2024,Card
30,"Cafe Latte, Soup",380,8958,22-07-2024,Cash
31,"Burrito, Green Tea, Lemon Cake Shake, Macchiato, Soup, Cupcake, Vanilla Latte",1500,3113,08-12-2024,Mobile Wallet
32,"Brownie, Vanilla Latte, Iced Latte, Cafe Latte, Earl Grey Orange Tea, Soup",1270,6245,11-10-2024,Cash
33,"Iced Mocha, Crackling Brownie Pastry, Salad, Alphonso Mango Frappe, Vanilla Cappuccino, Hot Tea Latte, Sandwich",1690,4157,30-01-2024,Card
34,"Dark Frappe, Crunchy Frappe, Baguette, Sandwich, Pudding, Cupcake, Croissant, Donut",1440,3288,24-03-2024,UPI
35,"Scone, Black Eye, Crunchy Frappe, Vegan Shake, Filter Coffee, Macchiato, Herbal Tea, Red Eye",1470,3757,01-04-2024,Mobile Wallet
36,"Cocoa Fantasy Pastry, Red Velvet Cake Shake, Iced Mocha, Vanilla Latte, Affogato, Scone",1380,4786,16-03-2024,Cash
37,"Earl Grey Orange Tea, Vanilla Latte, Masala Tea, Panini, Eclair, Vienna, Popcorn, Mousse",1630,9936,24-12-2024,Mobile Wallet
38,"Vanilla Latte, Americano",450,768,26-07-2024,UPI
39,"Earl Grey Orange Tea, Filter Coffee, Flat White, Dark Frappe, Breve, Vanilla Latte",1280,8359,25-06-2024,Card
40,"Cupcake, Herbal Tea, Donut, Peach Iced Tea, Alphonso Mango Frappe, Gourmet Belgian Cold Chocolate, Scone, Danish",1560,6033,19-09-2024,Card
41,"Soup, Herbal Tea, Bagel, Affogato, Elaichi Tea, Espresso, Masala Tea",1230,2286,06-03-2024,Mobile Wallet
42,"Hot Tea Latte, Watermelon Granita, Iced Tea Latte",690,7837,02-12-2024,Cash
43,"Macaron, Baguette",350,7717,22-07-2024,Card
44,"Cappuccino, Long Macchiato, Flavoured Ice Cream, Vanilla Latte, Cortado, Cookie, Pizza",1630,7652,21-01-2024,Mobile Wallet
45,"Masala Tea, Earl Grey Orange Tea, Bagel, Flat White, Crunchy Frappe",1010,5528,09-09-2024,UPI
46,"Cocoa Fantasy Pastry, Gourmet Belgian Cold Chocolate",500,4535,31-10-2024,Cash
47,"Elaichi Tea, Macchiato, Black Eye",560,5818,22-05-2024,UPI
48,"Pineapple Delight Pastry, Popcorn, Cupcake, Macaron, Ginger Tea, Sandwich, Lemon Cake Shake, Tropical Iceberg",1540,9216,08-01-2024,Mobile Wallet
49,"Long Macchiato, Americano, Turmeric Ginger Cappuccino",680,646,29-07-2024,Mobile Wallet
50,Long Macchiato,220,6197,16-10-2024,UPI
51,Red Eye,180,7968,18-08-2024,Cash
52,"Herbal Tea, Masala Tea, Gourmet Belgian Cold Chocolate, Cake, Panini",1180,4918,24-09-2024,UPI
53,"Dark Frappe, Burrito, Black Eye, Quiche, Macchiato",1240,1195,03-07-2024,Card
54,"Crunchy Frappe, Iced Latte, Lemon Cake Shake, Vienna, Pasta, Cafe Latte, Flavoured Ice Cream, Peach Iced Tea",2020,5289,19-05-2024,Card
55,"Hot Velvet Coffee, Salad",470,2262,03-03-2024,Cash
56,"Cookie, Iced Mocha, Filter Coffee, Long Macchiato, Chocolate Fantasy Cake Shake, Vanilla Cappuccino",1230,2338,03-10-2024,Mobile Wallet
57,"Iced Mocha, Iced Tea Latte",530,5272,11-10-2024,Mobile Wallet
58,Chocolate Fantasy Cake Shake,270,3824,25-07-2024,Cash
59,"Herbal Tea, Brioche, Cutlet, Panini, Vanilla Latte, Watermelon Mojito, Cocoa Fantasy Pastry, Hot Tea Latte",1670,5915,20-06-2024,Card
60,"Vegan Shake, Cookie, Herbal Tea, Danish, Peach Iced Tea, Cutlet, Bagel, Lemon Cake Shake",1500,7940,27-10-2024,Mobile Wallet
61,"Gourmet Belgian Cold Chocolate, Cafe Latte, Red Eye",730,5118,12-06-2024,UPI
62,"Black Eye, Americano, Brioche, Crackling Brownie Pastry, Eclair",880,8420,13-04-2024,UPI
63,"Tacos, Watermelon Granita",470,8735,21-12-2024,Cash
64,"Iced Cappuccino, Scone, Red Eye, Macchiato, Classic Lemonade, Red Velvet Cake Shake",1220,1654,03-05-2024,Cash
65,"Cupcake, Earl Grey Orange Tea, Alphonso Mango Frappe, Lemon Green Coffee, Panini, Red Eye",1330,2756,16-07-2024,Card
66,"Watermelon Mojito, Cafe Latte, Herbal Tea, Baguette",810,8317,24-02-2024,Mobile Wallet
67,"Iced Mocha, Cafe Latte, Croissant, Iced Tea Latte, Quiche, Soup, Red Eye",1490,3813,04-10-2024,Cash
68,"Sandwich, Dark Frappe, Vegan Shake, Lemon Cake Shake",1010,8753,27-02-2024,Cash
69,"Donut, Hot Tea Latte, Baguette, Iced Latte, Pizza, Quiche, Affogato",1630,3157,03-07-2024,UPI
70,"Long Macchiato, Eclair, Hot Velvet Coffee, Elaichi Tea, Hazelnut Brownie Cake Shake, Macchiato, Soup, Cupcake",1610,2758,06-05-2024,Mobile Wallet
71,"Herbal Tea, Lemon Green Coffee, Masala Tea",600,2892,10-08-2024,Cash
72,"Herbal Tea, Black Eye, Long Macchiato, Crunchy Frappe, Classic Lemonade, Green Tea, Vienna, Peach Iced Tea",1630,526,17-01-2024,Card
73,"Quiche, Cutlet, Brownie, Pudding, Baguette, Lemon Green Coffee",1170,9157,25-11-2024,Card
74,"Eclair, Scone, Mousse, Affogato",750,8855,21-08-2024,Card
75,"Tacos, Crunchy Frappe, Scone, Sandwich",880,8465,23-10-2024,Card
76,"Vegan Shake, Peach Iced Tea, Black Eye, Breve, Affogato, Burrito, Dark Frappe, Eclair",1860,5626,08-07-2024,Card
77,"Americano, Masala Tea",360,2127,12-02-2024,Card
78,"Pasta, Hazelnut Brownie Cake Shake, Crunchy Frappe, Dark Frappe, Alphonso Mango Frappe",1370,5585,17-02-2024,UPI
79,"Iced Cappuccino, Donut",380,17,18-10-2024,Card
80,"Muffin, Masala Tea",300,2709,22-08-2024,Card
81,"Iced Latte, Iced Mocha, Tacos",800,8711,20-10-2024,Cash
82,"Macchiato, Muffin",320,898,10-11-2024,Mobile Wallet
83,"Cappuccino, Panini, Granola Bar, Watermelon Granita, Mousse, Ginger Tea, Cookie, Cupcake",1550,1643,29-06-2024,Cash
84,"Classic Lemonade, Tropical Iceberg, Herbal Tea, Watermelon Granita, Black Eye, Green Tea, Eclair, Hot Velvet Coffee",1580,9414,13-12-2024,Cash
85,"Cake, Red Eye, Pineapple Delight Pastry, Vanilla Cappuccino",830,1150,09-09-2024,UPI
86,Macaron,200,9127,01-04-2024,Card
87,"Soup, Tacos, Mousse",600,5154,23-11-2024,UPI
88,"Cocoa Fantasy Pastry, Salad, Crunchy Frappe",650,8484,18-12-2024,Mobile Wallet
89,"Iced Cappuccino, Vanilla Cappuccino",520,2571,08-06-2024,Mobile Wallet
90,"Cocoa Fantasy Pastry, Black Eye, Affogato",600,2798,10-03-2024,UPI
91,"Watermelon Mojito, Long Black, Red Velvet Cake Shake, Cookie, Tacos, Pudding",1280,3949,12-05-2024,UPI
92,"Macaron, Ginger Tea, Gourmet Belgian Hot Chocolate, Iced Coffee, Tacos, Elaichi Tea, Donut",1450,9901,09-08-2024,UPI
93,"Donut, Scone, Cappuccino, Cutlet, Cake, Vienna, Vanilla Cappuccino, Earl Grey Orange Tea",1500,5608,22-08-2024,Mobile Wallet
94,"Espresso, Cortado, Elaichi Tea",530,4678,18-12-2024,Card
95,"Pizza, Croissant",450,5949,09-07-2024,Card
96,"Sandwich, Flat White, Scone, Baguette",760,6374,09-08-2024,Mobile Wallet
97,Red Eye,180,3010,21-01-2024,UPI
98,"Masala Tea, Cappuccino, Burrito, Peach Iced Tea, Filter Coffee",1030,8447,30-09-2024,Card
99,"Pasta, Cocoa Fantasy Pastry, Muffin, Black Eye, Panini, Elaichi Tea",1240,2037,21-04-2024,Card
100,"Americano, Baguette, Sandwich, Herbal Tea",760,5613,06-03-2024,UPI
101,"Iced Mocha, Crackling Brownie Pastry, Affogato, Pizza",1070,4539,03-09-2024,UPI
102,"Muffin, Affogato, Vegan Shake, Lemon Green Coffee, Croissant, Gourmet Belgian Cold Chocolate, Pasta, Scone",1700,3923,21-02-2024,UPI
103,"Long Black, Iced Mocha, Cookie, Watermelon Mojito, Donut, Tacos, Brownie, Herbal Tea",1530,4765,12-08-2024,Cash
104,"Burrito, Vegan Shake, Cake",770,7871,19-08-2024,Card
105,"Crackling Brownie Pastry, Danish, Quiche",670,7094,15-05-2024,Cash
106,"Cheesecake Shake, Cortado, Green Tea, Macchiato, Masala Tea, Vanilla Latte, Macaron",1500,20,17-02-2024,Mobile Wallet
107,"Eclair, Vanilla Latte, Cookie, Americano, Brownie, Popcorn, Lemon Cake Shake, Hot Tea Latte",1450,2844,21-05-2024,UPI
108,"Popcorn, Cutlet, Filter Coffee, Green Tea, Eclair, Lemon Cake Shake, Pizza, Gourmet Belgian Hot Chocolate",1610,369,12-10-2024,Cash
109,"Black Eye, Granola Bar, Watermelon Granita",580,4585,29-05-2024,Mobile Wallet
110,"Cheesecake Shake, Peach Iced Tea, Salad, Cocoa Fantasy Pastry, Iced Tea Latte, Cutlet, Iced Coffee, Green Tea",1700,6557,02-05-2024,UPI
111,"Hazelnut Brownie Cake Shake, Soup, Scone, Vanilla Cappuccino, Tacos, Macchiato",1250,784,29-06-2024,UPI
112,Lemon Cake Shake,250,9922,24-11-2024,Mobile Wallet
113,"Flavoured Ice Cream, Muffin, Cupcake, Iced Tea Latte",770,782,24-12-2024,Card
114,Iced Mocha,280,4945,26-03-2024,UPI
115,"Long Macchiato, Espresso, Earl Grey Orange Tea, Hot Tea Latte, Cupcake, Lemon Green Coffee, Iced Cappuccino",1460,2592,15-01-2024,Card
116,"Pizza, Cookie, Masala Tea, Alphonso Mango Frappe",930,4633,12-09-2024,UPI
117,"Eclair, Cake",400,5867,27-04-2024,UPI
118,"Popcorn, Bagel, Cake, Burrito, Scone, Ginger Tea, Pineapple Delight Pastry",1250,1193,26-11-2024,Cash
119,"Affogato, Burrito, Hot Tea Latte, Mousse",960,1789,23-11-2024,Card
120,"Eclair, Macchiato",380,3622,29-07-2024,Cash
121,Watermelon Granita,220,5133,18-12-2024,UPI
122,"Iced Coffee, Cortado, Iced Tea Latte, Tacos, Green Tea, Elaichi Tea, Macaron",1480,9437,03-01-2024,UPI
123,"Burrito, Gourmet Belgian Hot Chocolate, Popcorn, Brioche, Salad, Cortado, Danish, Panini",1710,1812,15-08-2024,Card
124,"Green Tea, Cappuccino, Donut, Elaichi Tea, Peach Iced Tea, Cutlet, Cortado, Crunchy Frappe",1510,5830,15-12-2024,Cash
125,"Green Tea, Mousse, Filter Coffee, Long Macchiato, Cutlet, Macchiato",1050,6007,20-08-2024,Mobile Wallet
126,"Gourmet Belgian Cold Chocolate, Vanilla Cappuccino",560,5647,09-04-2024,Card
127,"Pasta, Turmeric Ginger Cappuccino, Cheesecake Shake, Macchiato, Hazelnut Brownie Cake Shake, Chocolate Fantasy Cake Shake, Pizza",1950,8138,05-02-2024,Cash
128,"Cupcake, Tacos",400,3914,26-03-2024,Cash
129,"Flat White, Popcorn",310,3423,02-11-2024,Card
130,"Dark Frappe, Alphonso Mango Frappe, Iced Coffee",760,2595,20-05-2024,Cash
131,"Tropical Iceberg, Affogato, Peach Iced Tea, Hot Velvet Coffee, Soup, Classic Lemonade, Popcorn",1340,1537,18-09-2024,Mobile Wallet
132,"Herbal Tea, Brioche, Donut, Cappuccino, Panini",920,3496,30-04-2024,UPI
133,"Cheesecake Shake, Herbal Tea, Bagel, Breve, Quiche",1120,1797,21-03-2024,UPI
134,"Green Tea, Macchiato, Baguette, Hazelnut Brownie Cake Shake, Long Macchiato",1030,2303,14-12-2024,Mobile Wallet
135,"Gourmet Belgian Cold Chocolate, Vienna, Vanilla Cappuccino, Burrito, Sandwich, Vanilla Latte, Granola Bar, Alphonso Mango Frappe",2080,4482,29-06-2024,Cash
136,Masala Tea,180,7284,12-07-2024,Mobile Wallet
137,"Classic Lemonade, Dark Frappe, Ginger Tea, Pudding, Granola Bar",950,5550,12-05-2024,Mobile Wallet
138,"Iced Cappuccino, Chocolate Fantasy Cake Shake, Watermelon Granita, Sandwich, Cocoa Fantasy Pastry",1200,7466,23-08-2024,Mobile Wallet
139,"Red Eye, Long Black, Iced Latte, Hazelnut Brownie Cake Shake",930,3038,04-07-2024,Mobile Wallet
140,"Panini, Iced Tea Latte, Hot Velvet Coffee, Iced Latte, Macaron, Eclair",1430,6860,18-12-2024,Card
141,"Bagel, Brownie",300,5383,17-11-2024,Mobile Wallet
142,"Iced Cappuccino, Quiche, Black Eye, Cortado, Donut",1060,3986,23-11-2024,UPI
143,"Crunchy Frappe, Soup, Cutlet, Cafe Latte, Macchiato, Pudding, Cake, Mousse",1580,5579,28-06-2024,Card
144,"Pudding, Iced Mocha, Panini, Hot Velvet Coffee, Green Tea, Crunchy Frappe, Cortado",1620,9607,24-06-2024,Cash
145,Cheesecake Shake,270,5128,17-08-2024,UPI
146,Cafe Latte,230,8213,27-08-2024,Card
147,"Macchiato, Turmeric Ginger Cappuccino, Iced Cappuccino, Granola Bar, Pizza, Soup",1440,6780,31-07-2024,UPI
148,"Cortado, Cupcake, Eclair, Vegan Shake, Vienna, Macaron, Tacos, Panini",1750,6111,08-10-2024,Cash
149,"Watermelon Granita, Lemon Green Coffee, Pineapple Delight Pastry, Scone, Breve, Red Velvet Cake Shake, Herbal Tea, Brioche",1600,2906,28-01-2024,Card
150,"Baguette, Chocolate Fantasy Cake Shake, Crunchy Frappe, Pasta",970,4829,08-05-2024,Cash
151,"Turmeric Ginger Cappuccino, Iced Coffee, Pizza",850,6929,05-09-2024,Card
152,"Iced Coffee, Croissant, Long Macchiato, Long Black, Salad, Iced Tea Latte, Cappuccino, Iced Cappuccino",1710,371,28-02-2024,Cash
153,"Cookie, Quiche, Hazelnut Brownie Cake Shake, Mousse, Vanilla Latte",1170,4576,30-10-2024,UPI
154,"Cortado, Cupcake",350,9520,29-12-2024,Card
155,"Cafe Latte, Quiche, Cocoa Fantasy Pastry, Cappuccino, Popcorn",1010,5487,16-10-2024,Mobile Wallet
156,"Alphonso Mango Frappe, Tropical Iceberg",520,2525,23-09-2024,UPI
157,"Pasta, Hot Velvet Coffee, Alphonso Mango Frappe, Long Black, Croissant, Breve",1350,9585,13-07-2024,Card
158,"Watermelon Mojito, Quiche, Iced Cappuccino, Ginger Tea, Herbal Tea",1190,9519,19-02-2024,Card
159,"Red Eye, Soup, Tacos, Cappuccino, Danish, Black Eye",1150,7778,28-11-2024,Cash
160,"Vanilla Cappuccino, Salad, Pizza, Iced Cappuccino, Dark Frappe, Masala Tea",1530,7743,18-03-2024,Mobile Wallet
161,Salad,220,3656,30-01-2024,Mobile Wallet
162,"Iced Coffee, Affogato, Macchiato, Quiche, Watermelon Granita, Green Tea, Soup",1510,6731,06-05-2024,Mobile Wallet
163,Lemon Cake Shake,250,6197,13-04-2024,UPI
164,"Masala Tea, Breve, Cutlet",550,9011,29-01-2024,Cash
165,"Iced Tea Latte, Dark Frappe, Lemon Green Coffee, Americano, Iced Mocha, Herbal Tea, Vienna, Elaichi Tea",1810,5244,26-02-2024,Mobile Wallet
166,"Cake, Classic Lemonade, Cappuccino, Ginger Tea, Elaichi Tea, Gourmet Belgian Cold Chocolate, Salad, Tropical Iceberg",1730,5149,22-05-2024,UPI
167,"Red Velvet Cake Shake, Salad",500,249,11-07-2024,Card
